Column1,Date,Cost,Item Number,Type
Baseline,2024-01-01,55.00000000000001,10001,Labor
Baseline,2024-01-30,55.00000000000001,10001,Labor
Baseline,2024-02-28,55.00000000000001,10001,Labor
Baseline,2024-03-30,55.00000000000001,10001,Labor
Baseline,2024-04-29,55.00000000000001,10001,Labor
Baseline,2024-05-30,55.00000000000001,10001,Labor
Baseline,2024-06-29,55.00000000000001,10001,Labor
Baseline,2024-07-30,47.50000000000001,10001,Material
Baseline,2024-08-30,47.50000000000001,10001,Material
Baseline,2024-09-29,47.50000000000001,10001,Material
Baseline,2024-10-30,47.50000000000001,10001,Material
Baseline,2024-11-29,95.00000000000001,10001,Material
Baseline,2024-12-30,97.85000000000002,10001,Material
Baseline,2025-01-29,97.85000000000002,10001,Material
Baseline,2025-02-26,97.85000000000002,10001,Material
Baseline,2025-03-29,97.85000000000002,10001,Material
Baseline,2025-04-28,97.85000000000002,10001,Material
Baseline,2025-05-29,113.30000000000001,10001,Labor
Baseline,2025-06-28,113.30000000000001,10001,Labor
Baseline,2025-07-29,113.30000000000001,10001,Labor
Baseline,2025-08-29,113.30000000000001,10001,Labor
Baseline,2025-09-28,113.30000000000001,10001,Labor
Baseline,2025-10-29,113.30000000000001,10001,Labor
Baseline,2025-11-28,113.30000000000001,10001,Labor
Baseline,2025-12-29,100.78550000000003,10001,Material
Baseline,2026-01-29,100.78550000000003,10001,Material
Baseline,2026-02-26,100.78550000000003,10001,Material
Baseline,2026-03-29,100.78550000000003,10001,Material
Baseline,2026-04-28,100.78550000000003,10001,Material
Baseline,2026-05-29,100.78550000000003,10001,Material
Baseline,2026-06-28,100.78550000000003,10001,Material
Baseline,2026-07-29,100.78550000000003,10001,Material
Baseline,2026-08-29,100.78550000000003,10001,Material
Baseline,2026-09-28,151.17825000000002,10001,Material
Baseline,2026-10-29,151.17825000000002,10001,Material
Baseline,2026-11-28,175.0485,10001,Labor
Baseline,2026-12-29,180.299955,10001,Labor
Baseline,2027-01-29,180.299955,10001,Labor
Baseline,2027-02-26,180.299955,10001,Labor
Baseline,2027-03-29,180.299955,10001,Labor
