Date,Initial_Costs,Modified_Costs,PV_to_Date,Schedule_Percent_Complete,AC_to_Date,Percent_Complete,Earned_Value,Schedule_Variance,Cost_Variance
2024-01-01,0.0,55.00000000000001,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-02,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-03,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-04,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-05,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-06,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-07,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-08,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-09,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-10,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-11,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-12,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-13,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-14,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-15,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-16,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
2024-01-17,0.0,0.0,0.0,0.0,55.00000000000001,0.36469962121368776,53.93455703844975,-53.93455703844975,-1.0654429615502536
